frame x   y sz
  0  65  49 19
  1  64  49 19
  2  63  49 19
  3  61  49 19
  4  61  49 19
  5  65  50 20
  6  72  50 20
  7  80  49 20
  8  92  49 21
  9  93  47 21
 10  85  45 21
 11  73  43 21
 12  66  44 21
 13  66  43 21
 14  68  40 22
 15  71  39 22
 16  77  38 21
 17  84  40 20
 18  81  45 21
 19  73  46 20
 20  60  44 20
 21  49  44 21
 22  36  45 21
 23  27  45 21
 24  28  46 21
 25  44  47 21
 26  60  49 22
 27  68  52 23
 28  50  55 23
 29  33  52 22
 30  37  50 21
 31  45  51 20
 32  51  51 19
 33  58  52 18
 34  61  51 17
 35  53  51 16
 36  50  50 15
 37  53  49 15
 38  56  49 15
 39  62  50 16
 40  63  50 17
 41  64  50 18
 42  66  50 18
 43  70  49 18
 44  77  49 17
 45  88  50 18
 46  88  50 19
 47  78  52 20
 48  66  52 21
 49  57  50 22
 50  53  48 23
