frame x   y sz
  0  68  45 17
  1  69  45 17
  2  71  45 17
  3  75  45 17
  4  84  42 16
  5  94  38 15
  6 106  32 15
  7  99  26 17
  8 106  21 18
  9 106  22 19
 10 100  25 20
 11  94  33 19
 12  88  33 19
 13  89  31 18
 14  94  31 17
 15  98  33 16
 16  97  36 15
 17  96  37 15
 18 101  36 15
 19 101  29 17
 20  99  21 16
 21  99  20 15
 22 100  20 15
 23  97  20 15
 24  92  20 15
 25  86  20 15
 26  89  24 16
 27  89  28 15
 28  82  36 16
 29  75  40 15
 30  72  40 15
 31  69  40 15
 32  72  40 15
 33  76  40 16
 34  85  44 15
 35  87  44 15
 36  88  43 17
 37  91  45 17
 38  92  41 18
 39  90  41 18
 40  85  44 18
 41  77  44 19
 42  73  44 19
 43  70  44 18
 44  71  44 18
 45  72  43 17
 46  73  45 18
 47  74  45 18
 48  75  45 18
 49  77  45 18
 50  75  45 18
 51  73  45 18
 52  71  45 18
 53  74  44 18
 54  79  42 18
 55  87  41 19
 56  85  39 18
 57  82  38 17
 58  81  37 16
 59  84  35 16
 60  86  36 17
 61  91  36 18
 62  95  34 17
 63  98  32 16
 64 108  28 15
 65  97  26 15
 66  98  20 16
 67 102  20 16
 68 105  20 16
 69  95  21 15
 70  97  20 15
 71 100  20 16
 72 102  20 16
 73 109  20 17
 74 108  21 18
 75 108  22 19
 76 106  24 20
 77 103  25 20
 78 106  25 21
 79  98  26 22
 80  77  27 23
 81  55  28 24
 82  35  37 24
 83  25  37 25
 84  25  31 25
 85  25  34 25
 86  41  36 23
 87  56  42 24
 88  55  50 24
 89  48  53 23
 90  40  53 22
 91  39  52 21
 92  39  52 20
 93  37  51 19
 94  37  50 20
 95  36  48 19
 96  36  48 19
 97  38  48 19
 98  42  44 20
 99  44  46 21
100  45  45 20
101  46  46 19
102  46  46 20
103  45  45 20
104  40  44 21
105  32  42 20
106  32  43 19
107  25  40 18
108  28  34 17
109  48  29 16
110  62  31 16
111  64  36 15
112  65  34 16
113  67  26 17
114  66  29 18
115  62  37 19
116  53  45 20
117  32  52 19
118  20  51 20
119  21  50 21
120  22  56 22
121  54  61 21
122  80  59 20
123 106  57 21
124  75  58 20
125  63  55 21
126  56  54 21
127  56  55 20
128  56  55 19
129  59  51 18
130  61  50 17
131  61  52 16
132  64  49 15
133  62  50 16
134  62  53 15
135  62  54 15
136  63  52 16
137  64  53 15
138  63  56 15
139  35  56 20
140  31  48 19
141  38  43 19
142  47  38 19
143  51  37 19
144  48  36 19
145  42  29 20
146  32  25 21
147  39  26 22
148  42  27 22
149  37  27 23
150  24  28 24
151  25  30 25
152  42  30 25
153  57  30 25
154  80  30 25
155  71  30 25
156  49  30 25
157  38  34 24
158  25  30 25
159  25  30 25
160  25  30 25
161  25  38 25
162  25  46 25
163  25  54 25
164  33  62 25
165  57  65 25
166  70  65 25
167  76  59 24
168  74  55 24
169  55  49 24
170  51  43 24
171  51  45 24
172  54  46 24
173  77  47 24
174  74  48 24
175  71  48 24
176   0   0  0
177   0   0  0
178   0   0  0
179   0   0  0
180   0   0  0
181   0   0  0
182   0   0  0
183   0   0  0
184   0   0  0
185   0   0  0
186   0   0  0
187   0   0  0
188   0   0  0
189   0   0  0
190   0   0  0
191   0   0  0
192   0   0  0
193   0   0  0
194   0   0  0
195   0   0  0
196   0   0  0
197   0   0  0
198   0   0  0
199  64  56 15
200  64  57 15
