frame x   y sz
  0  63  48 20
  1  63  48 20
  2  63  48 20
  3  62  48 20
  4  62  48 20
  5  63  48 20
  6  60  43 19
  7  59  44 18
  8  56  45 18
  9  52  45 18
 10  45  46 17
 11  40  47 16
 12  38  49 15
 13  36  50 15
 14  36  52 15
 15  36  51 17
 16  36  44 17
 17  50  40 18
 18  51  41 19
 19  45  46 20
 20  43  46 20
 21  46  41 20
 22  43  41 21
 23  36  41 21
 24  39  41 22
 25  46  41 22
 26  50  43 22
 27  53  44 21
 28  57  45 20
 29  59  46 19
 30  56  46 18
 31  55  46 17
 32  56  46 17
 33  58  46 17
 34  61  47 17
 35  65  47 17
 36  68  47 17
 37  75  46 16
 38  84  46 16
 39  90  47 16
 40  94  48 16
 41  96  50 17
 42  96  49 17
 43  93  51 18
 44  89  53 19
 45  87  53 20
 46  87  53 20
 47  88  52 20
 48  90  51 20
 49  93  50 21
 50  95  49 21
 51  94  49 21
 52  88  49 20
 53  81  49 19
 54  77  49 18
 55  77  51 19
 56  73  53 19
 57  68  56 19
 58  69  55 18
 59  69  56 18
 60  69  57 18
 61  70  58 17
 62  70  58 16
 63  72  51 17
 64  74  47 16
 65  76  47 16
 66  80  47 17
 67  79  46 18
 68  77  46 18
 69  74  46 19
 70  70  47 19
 71  70  47 19
 72  69  48 19
 73  69  48 19
 74  69  48 19
 75  68  49 19
 76  67  49 19
 77  67  50 18
 78  66  51 18
 79  67  48 17
 80  67  47 17
 81  67  46 16
 82  66  46 16
 83  66  46 16
 84  65  46 17
 85  65  46 17
 86  65  46 17
 87  65  46 17
 88  64  46 17
 89  64  46 17
 90  64  46 17
 91  64  46 17
 92  65  46 17
 93  65  46 17
 94  65  46 17
 95  65  46 17
 96  65  46 17
 97  65  47 17
 98  65  46 17
 99  65  46 17
100  65  47 17
