frame x   y sz
  0  59  53 20
  1  60  53 20
  2  60  53 20
  3  60  53 20
  4  62  52 20
  5  64  51 20
  6  68  52 20
  7  74  52 19
  8  81  52 19
  9  91  53 18
 10 100  53 18
 11 104  57 19
 12 103  57 19
 13  97  57 19
 14  93  58 19
 15  92  59 20
 16  91  63 21
 17  95  63 22
 18  95  63 22
 19  94  64 23
 20  95  61 22
 21  96  60 22
 22  92  60 21
 23  87  60 20
 24  82  58 19
 25  75  57 18
 26  69  63 17
 27  66  63 16
 28  67  55 16
 29  64  51 16
 30  59  51 17
 31  53  50 18
 32  47  51 18
 33  40  51 19
 34  37  50 19
 35  36  50 19
 36  35  49 19
 37  34  50 20
 38  36  53 21
 39  35  52 22
 40  33  50 23
 41  30  48 24
 42  31  48 23
 43  34  48 22
 44  34  48 21
 45  30  50 22
 46  25  49 23
 47  30  50 23
 48  41  50 22
 49  50  50 21
 50  56  50 20
