frame x   y sz
  0  58  50 18
  1  58  50 18
  2  57  50 18
  3  57  49 18
  4  56  49 18
  5  55  49 18
  6  54  49 18
  7  53  49 18
  8  50  50 18
  9  51  51 19
 10  52  51 19
 11  53  51 19
 12  54  51 19
 13  56  51 19
 14  57  51 19
 15  58  51 19
 16  61  50 19
 17  65  50 19
 18  70  50 19
 19  76  49 19
 20  85  49 20
 21  91  48 21
 22  94  48 21
 23  92  48 22
 24  89  47 21
 25  85  48 21
 26  81  48 20
 27  78  50 20
 28  74  54 21
 29  71  54 21
 30  70  55 20
 31  70  56 20
 32  70  57 19
 33  71  56 19
 34  71  51 18
 35  66  51 18
 36  62  50 18
 37  57  49 17
 38  50  50 18
 39  41  48 17
 40  37  45 16
 41  35  46 17
 42  38  49 17
 43  44  51 18
 44  54  52 18
 45  61  51 17
 46  68  51 17
 47  75  51 18
 48  84  52 19
 49  88  52 19
 50  90  52 19
