frame x   y sz
  0  68  43 17
  1  69  46 17
  2  69  46 17
  3  64  42 17
  4  64  42 17
  5  64  41 18
  6  69  42 18
  7  77  42 17
  8  86  42 18
  9  96  43 17
 10 104  44 16
 11 104  43 15
 12  99  40 15
 13  92  39 15
 14  86  40 15
 15  83  39 15
 16  81  39 16
 17  83  38 16
 18  86  38 17
 19  89  40 17
 20  92  42 18
 21  90  42 18
 22  87  40 17
 23  82  40 17
 24  76  40 18
 25  71  38 19
 26  66  35 19
 27  67  37 20
 28  67  40 21
 29  67  44 22
 30  68  42 22
 31  67  40 23
 32  63  38 24
 33  56  37 24
 34  47  44 24
 35  28  48 24
 36  25  49 25
 37  28  53 24
 38  25  52 24
 39  25  48 24
 40  25  44 23
 41  25  42 22
 42  26  42 22
 43  31  41 21
 44  36  40 20
 45  35  37 19
 46  33  36 18
 47  32  32 18
 48  34  32 18
 49  38  34 18
 50  45  36 19
 51  50  40 20
 52  57  41 20
 53  62  41 19
 54  67  42 19
 55  71  42 18
 56  76  42 17
 57  83  44 18
 58  87  45 18
 59  89  46 18
 60  91  46 17
 61  91  48 17
 62  88  48 16
 63  87  47 15
 64  87  48 15
 65  87  49 15
 66  88  51 16
 67  87  53 16
 68  84  53 16
 69  79  51 15
 70  76  52 15
 71  73  53 15
 72  69  52 15
 73  72  53 15
 74  76  54 15
 75  81  55 15
 76  84  57 15
 77  87  59 16
 78  90  59 17
 79  90  62 16
 80  95  70 17
 81  94  66 18
 82  94  62 17
 83  91  63 18
 84  91  64 18
 85  93  65 18
 86  95  66 18
 87  95  67 18
 88  95  66 18
 89  92  66 18
 90  87  66 17
 91  84  64 16
 92  81  63 16
 93  78  63 16
 94  71  61 17
 95  70  57 17
 96  70  52 18
 97  71  46 18
 98  73  43 19
 99  78  44 19
100  86  45 20
