frame x   y sz
  0  69  44 17
  1  69  44 17
  2  69  44 17
  3  69  44 17
  4  69  45 18
  5  69  45 18
  6  70  45 18
  7  71  44 17
  8  72  46 17
  9  74  46 17
 10  76  48 16
 11  80  51 15
 12  81  52 16
 13  83  53 16
 14  84  54 16
 15  84  56 17
 16  85  58 16
 17  73  64 17
 18  73  65 18
 19  73  65 18
 20  67  64 17
 21  65  58 16
 22  63  54 16
 23  57  48 17
 24  56  47 17
 25  55  46 17
 26  52  45 18
 27  48  44 19
 28  51  36 20
 29  52  28 20
 30  49  27 21
 31  43  30 22
 32  34  35 21
 33  34  39 20
 34  38  39 19
 35  43  41 18
 36  44  42 17
 37  45  44 16
 38  47  45 16
 39  49  45 16
 40  50  44 16
 41  52  42 16
 42  57  40 17
 43  62  39 18
 44  70  37 19
 45  79  37 18
 46  88  45 17
 47 102  50 17
 48 109  50 18
 49 108  47 19
 50 104  49 20
 51  84  52 21
 52  64  55 22
 53  52  62 23
 54  42  60 24
 55  35  53 25
 56  33  50 25
 57  36  50 24
 58  41  50 23
 59  44  50 22
 60  47  50 22
 61  47  48 21
 62  49  46 20
 63  52  43 19
 64  56  41 19
 65  61  42 18
 66  65  43 18
 67  71  45 18
 68  78  46 18
 69  85  47 17
 70  90  48 17
 71  92  49 17
 72  91  49 17
 73  87  49 16
 74  84  50 16
 75  81  53 17
 76  76  55 18
 77  74  58 19
 78  69  59 19
 79  69  55 18
 80  69  53 17
 81  69  52 17
 82  70  51 16
 83  70  51 17
 84  70  51 17
 85  70  52 16
 86  71  54 15
 87  71  54 15
 88  72  49 16
 89  72  46 17
 90  73  45 17
 91  75  47 16
 92  77  49 16
 93  77  50 17
 94  78  51 17
 95  78  52 17
 96  78  53 17
 97  76  54 16
 98  73  55 16
 99  69  56 16
100  68  57 16
101  65  55 17
102  62  53 17
103  57  54 17
104  52  55 16
105  44  57 15
106  40  60 16
107  40  61 16
108  42  63 16
109  46  64 16
110  52  65 16
111  64  67 16
112  70  69 16
113  78  67 17
114  84  62 17
115  91  62 18
116  89  65 17
117  79  62 18
118  69  63 18
119  52  65 17
120  46  67 16
121  38  67 15
122  29  60 15
123  25  53 15
124  29  52 15
125  43  53 15
126  63  55 15
127  78  57 16
128  84  59 17
129  87  60 17
130  79  60 17
131  66  60 17
132  50  61 18
133  41  63 19
134  31  57 19
135  30  57 18
136  35  60 18
137  51  59 17
138  66  58 16
139  77  58 16
140  84  60 16
141  83  64 15
142  74  65 15
143  70  67 16
144  74  67 17
145  79  59 17
146  86  51 16
147  84  43 17
148  81  43 18
149  76  43 18
150  67  42 18
