frame x   y sz
  0  55  53 22
  1  55  53 22
  2  57  54 21
  3  62  51 21
  4  67  46 20
  5  74  41 19
  6  80  34 18
  7  87  28 17
  8  89  23 16
  9  86  20 15
 10  85  20 15
 11  85  21 15
 12  85  25 15
 13  86  30 15
 14  89  38 15
 15  90  38 15
 16  90  37 15
 17  89  36 15
 18  89  36 15
 19  87  36 15
 20  83  35 16
 21  81  35 16
 22  78  34 16
 23  76  34 17
 24  76  36 17
 25  76  40 18
 26  77  44 18
 27  78  45 19
 28  74  45 19
 29  69  44 18
 30  65  44 19
 31  59  44 19
 32  55  44 19
 33  56  44 19
 34  63  44 19
 35  72  44 18
 36  81  44 18
 37  89  46 18
 38  81  45 18
 39  60  44 19
 40  43  43 19
 41  33  43 19
 42  40  43 19
 43  60  44 18
 44  79  44 18
 45  91  45 18
 46  87  45 18
 47  69  43 18
 48  50  42 18
 49  33  43 19
 50  35  43 19
 51  52  44 18
 52  84  43 17
 53 105  44 17
 54  97  45 18
 55  76  42 18
 56  45  41 18
 57  27  41 19
 58  39  40 18
 59  58  42 17
 60  85  43 18
 61 102  44 17
 62  91  44 18
 63  73  43 17
 64  42  42 18
 65  29  41 19
 66  34  40 19
 67  52  40 18
 68  84  44 17
 69 108  45 18
 70 108  46 19
 71 100  44 19
 72  75  42 18
 73  43  42 18
 74  19  41 19
 75  20  44 19
 76  30  44 20
 77  53  44 20
 78  84  45 19
 79 105  45 18
 80 105  45 18
 81  93  44 18
 82  76  44 18
 83  52  42 18
 84  33  42 19
 85  34  42 19
 86  52  42 18
 87  72  44 18
 88  91  46 18
 89 100  47 18
 90  91  45 18
 91  74  46 17
 92  42  53 18
 93  28  52 18
 94  29  44 19
 95  47  41 18
 96  74  43 17
 97  95  45 18
 98 105  47 19
 99 100  46 19
100  75  43 18
