frame x   y sz
  0  70  42 20
  1  70  42 20
  2  71  42 20
  3  71  42 20
  4  73  42 20
  5  75  42 21
  6  79  41 22
  7  81  41 23
  8  84  41 23
  9  88  41 24
 10  91  41 23
 11  93  41 22
 12  94  42 22
 13  94  42 21
 14  90  43 20
 15  84  42 20
 16  77  40 19
 17  70  41 20
 18  66  41 20
 19  62  39 20
 20  54  40 20
 21  50  42 20
 22  46  44 21
 23  39  44 21
 24  36  43 20
 25  33  41 19
 26  32  42 19
 27  33  43 19
 28  34  41 18
 29  34  41 18
 30  33  41 18
 31  32  42 18
 32  31  43 18
 33  32  43 17
 34  34  45 18
 35  36  45 18
 36  37  46 18
 37  37  46 18
 38  39  45 17
 39  42  46 17
 40  46  47 18
 41  52  49 18
 42  56  52 19
 43  58  54 20
 44  60  56 20
 45  60  57 20
 46  61  60 21
 47  62  59 21
 48  63  59 21
 49  66  59 22
 50  64  51 21
 51  65  43 20
 52  67  42 20
 53  67  41 20
 54  68  37 19
 55  69  37 19
 56  71  38 18
 57  72  41 17
 58  73  43 16
 59  74  43 16
 60  76  44 16
 61  77  45 16
 62  79  44 16
 63  80  45 16
 64  81  44 16
 65  82  44 16
 66  82  45 16
 67  80  44 16
 68  76  45 16
 69  72  46 16
 70  70  46 16
 71  70  47 16
 72  70  47 16
 73  71  47 16
 74  72  47 16
 75  73  47 16
 76  74  46 16
 77  74  46 16
 78  73  47 16
 79  73  45 16
 80  72  45 16
 81  71  45 16
 82  66  45 16
 83  64  45 16
 84  65  46 16
 85  61  45 16
 86  58  46 16
 87  56  46 16
 88  54  46 16
 89  56  46 17
 90  56  47 18
 91  55  47 18
 92  55  45 18
 93  55  44 18
 94  56  45 18
 95  58  46 18
 96  58  46 18
 97  58  45 18
 98  58  43 17
 99  57  43 17
100  58  44 17
101  60  43 16
102  62  42 16
103  66  41 16
104  67  41 16
105  68  42 16
106  72  41 16
107  75  44 17
108  79  46 18
109  78  48 19
110  76  49 19
111  74  51 20
112  76  49 20
113  77  49 20
114  73  50 20
115  70  48 19
116  69  49 20
117  70  49 20
118  71  49 20
119  73  46 19
120  74  45 18
121  75  45 18
122  76  45 18
123  72  44 18
124  68  43 18
125  66  43 18
126  65  43 19
127  65  41 18
128  65  39 18
129  64  38 18
130  66  39 17
131  67  46 18
132  65  49 19
133  69  51 18
134  69  51 18
135  68  53 19
136  72  54 18
137  72  54 18
138  73  55 18
139  74  56 18
140  75  57 18
141  74  57 18
142  70  58 18
143  68  60 18
144  67  59 18
145  66  52 18
146  67  50 18
147  69  49 18
148  70  50 18
149  70  57 18
150  70  58 18
151  69  53 18
152  68  50 18
153  68  52 18
154  68  52 18
155  69  52 18
156  69  51 18
157  68  48 18
158  66  47 18
159  67  49 18
160  67  49 18
161  63  48 18
162  62  47 18
163  61  47 18
164  60  47 18
165  59  47 18
166  58  47 18
167  57  47 18
168  56  47 18
169  55  47 18
170  54  47 18
171  53  46 17
172  52  45 16
173  53  44 16
174  56  44 16
175  59  44 16
176  60  44 16
177  59  44 16
178  59  43 16
179  59  43 16
180  58  43 16
181  58  43 16
182  59  44 16
183  59  42 16
184  60  40 16
185  62  39 16
186  64  40 16
187  67  42 16
188  69  43 17
189  71  43 18
190  73  41 18
191  74  39 17
192  74  39 18
193  74  41 19
194  72  41 19
195  71  39 18
196  67  40 19
197  64  43 18
198  62  44 19
199  60  43 18
200  60  42 18
201  58  43 18
202  58  45 19
203  56  43 18
204  56  43 19
