frame x   y sz
  0  64  47 19
  1  64  47 19
  2  63  47 19
  3  62  45 18
  4  62  45 18
  5  62  45 18
  6  62  46 19
  7  62  46 19
  8  59  46 18
  9  56  50 19
 10  61  48 19
 11  62  44 18
 12  61  46 19
 13  62  46 19
 14  62  46 19
 15  62  46 19
 16  62  46 19
 17  63  46 19
 18  63  46 19
 19  63  46 19
 20  64  44 18
 21  63  46 19
 22  62  48 20
 23  62  46 19
 24  63  46 19
 25  62  46 19
 26  63  46 19
 27  63  46 19
 28  63  46 19
 29  64  46 19
 30  64  46 19
 31  64  46 19
 32  62  44 18
 33  61  44 18
 34  60  45 18
 35  60  46 18
 36  54  48 19
 37  47  55 20
 38  55  56 21
 39  56  55 21
 40  55  56 21
 41  54  55 20
 42  60  55 19
 43  60  55 19
 44  60  55 19
 45  60  55 19
 46  60  55 19
 47  60  55 19
 48  60  55 19
 49  61  55 18
 50  38  51 17
