frame x   y sz
  0  71  52 24
  1  75  51 24
  2  82  47 24
  3  91  43 24
  4  99  41 24
  5 102  45 25
  6 102  46 25
  7 102  41 23
  8 103  38 22
  9 102  35 22
 10 103  31 22
 11 104  28 22
 12 104  28 21
 13 105  32 20
 14 106  32 19
 15 107  31 18
 16 108  31 17
 17 108  32 17
 18 107  34 17
 19 106  35 16
 20 105  36 15
 21 102  36 15
 22  99  36 15
 23  96  37 16
 24  94  37 17
 25  90  39 18
 26  89  39 18
 27  92  38 17
 28  94  39 17
 29  95  37 16
 30  93  35 15
 31  88  35 15
 32  83  35 15
 33  78  37 15
 34  72  38 15
 35  62  39 15
 36  58  42 15
 37  51  44 15
 38  43  44 15
 39  36  45 16
 40  32  44 17
 41  28  41 18
 42  27  41 19
 43  29  41 19
 44  31  42 19
 45  33  43 19
 46  33  44 19
 47  32  45 19
 48  32  49 20
 49  33  49 20
 50  34  47 19
 51  36  47 18
 52  37  47 19
 53  36  49 20
 54  36  46 19
 55  36  44 18
 56  34  43 18
 57  33  43 18
 58  32  43 18
 59  35  44 18
 60  36  45 19
 61  36  44 18
 62  36  44 18
 63  36  44 18
 64  36  43 18
 65  37  44 19
 66  39  45 19
 67  41  43 18
 68  44  45 18
 69  52  47 18
 70  65  50 18
 71  81  55 17
 72  93  58 16
 73 105  61 16
 74 109  66 17
 75 109  72 17
 76  97  74 17
 77  89  74 16
 78  93  68 16
 79  78  61 15
 80  63  61 16
 81  49  63 15
 82  38  57 17
 83  31  53 18
 84  32  54 19
 85  46  54 18
 86  69  51 17
 87  85  53 18
 88 101  53 18
 89 107  53 18
 90 103  53 18
 91  80  53 18
 92  52  53 17
 93  27  52 18
 94  19  52 19
 95  20  52 19
 96  40  53 19
 97  57  55 20
 98  81  56 21
 99  84  57 20
100  70  62 21
101  58  62 21
102  54  62 22
103  50  59 21
104  58  56 21
105  67  57 21
106  81  58 21
107  96  55 22
108 104  55 23
109 103  63 24
110 101  64 25
111 101  58 23
112 102  58 23
113  99  58 22
114  95  57 21
115  91  57 20
116  91  58 19
117  91  58 19
118  91  58 19
119  91  57 19
120 107  52 18
121  99  53 19
122  97  53 19
123  83  53 19
124  74  52 18
125  65  51 17
126  60  50 17
127  55  50 17
128  51  50 17
129  48  50 17
130  47  53 16
131  47  49 15
132  48  49 15
133  47  49 15
134  48  49 15
135  50  49 15
136  52  49 15
137  55  49 15
138  58  49 15
139  58  49 15
140  58  49 16
141  59  49 16
142  59  49 17
143  60  50 18
144  60  50 18
145  60  50 18
146  62  50 18
147  66  50 17
148  71  50 18
149  76  50 17
150  83  49 17
151  87  49 17
152  87  50 17
153  84  52 17
154  80  51 17
155  75  50 17
156  69  50 17
157  62  49 17
158  61  49 16
159  56  48 17
160  53  47 17
161  49  48 18
162  48  48 18
163  52  47 17
164  55  47 16
165  61  47 17
166  63  46 18
167  65  46 18
168  69  46 18
169  74  45 19
170  80  43 19
171  87  43 19
172  89  45 18
173  85  43 17
174  85  43 16
175  88  47 15
176  90  47 15
177  91  46 15
178  93  41 15
179  94  41 15
180  95  41 15
181  90  36 17
182  85  35 17
183  77  33 18
184  70  33 17
185  61  39 18
186  50  44 19
187  32  49 18
188  19  57 19
189  52  65 18
190  77  73 19
191  77  71 20
192  81  70 21
193  78  69 21
194  79  69 22
195  75  68 23
196  76  67 24
197  77  65 25
198  78  65 25
199  77  57 24
200  78  51 24
